owner,repo_name,commit_id,committer,date,tree_url,lines_code_added,lines_code_removed,code_size_bytes,code_size_kilobytes,repo_size_kb
pH-7,Simple-Java-Calculator,e9818c81a946bbdd0dd175c18a059861a3e3c239,web-flow,2019-10-29 22:59:39,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/73228df1145b176ed753695dcb754ef4d6886a45,0,8,8,1,1
pH-7,Simple-Java-Calculator,771004574d26e0f0eb9937bf87e6378afd24f7ca,web-flow,2019-10-29 22:59:29,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/e017329b9d4b1c060ec43fa25c82c66687b1b7cb,0,6,6,1,1
pH-7,Simple-Java-Calculator,1f5c3b94505c18cb7c6a11c17703b8957565c35d,web-flow,2019-10-29 22:59:19,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/e3569db8f3bfb2275938d1ab34470bfe597bbfca,0,9,9,1,1
pH-7,Simple-Java-Calculator,39f6b379fcc245e68e12dba1d439abcd2db513c7,web-flow,2019-10-29 22:58:57,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/32509298a8cc5da7f53f4830cb29484db5a16c72,0,116,116,1,1
pH-7,Simple-Java-Calculator,2be1bd9cbefd6f04a3d676ff54cdd5961728bf86,pH-7,2019-10-08 12:52:20,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/877fc669febd6fe83ef1ad9a07d3819ecbb5e0e9,2,2,4,1,1
pH-7,Simple-Java-Calculator,4d0a6dd65fa66912fd628f2cd61847235abb9706,pH-7,2019-10-08 12:52:00,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/2d566b4e024b16bdae248ee1f234f4d716643bcf,15,4,19,1,1
pH-7,Simple-Java-Calculator,76409026cd3a3ce8490c43a2e92b5caf71547c41,web-flow,2019-10-08 12:37:57,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/13279d8a19acb891f61c9345f612956f3074fba4,25,9,34,1,1
pH-7,Simple-Java-Calculator,04dcb59292151c88ef9ac9a1f7ebda00ad1220e6,web-flow,2019-10-08 12:35:57,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/13279d8a19acb891f61c9345f612956f3074fba4,75,24,99,1,1
pH-7,Simple-Java-Calculator,61c0d5d34d4d5d4aedb893f3b1d17f9340df9b94,SidaDan,2019-10-02 15:41:54,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/046842aaee59fb376cdaa7b2c687711c8d6ecf49,30,16,46,1,1
pH-7,Simple-Java-Calculator,815cd966fdd7942885a529437fbc41a11d6c1b3e,TechDevSubhopriyo,2019-10-01 15:19:05,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/5e6a4ba8c13998d358fdd052a9ecccf31ab9791d,385,3,388,1,1
pH-7,Simple-Java-Calculator,e5cf5e6ca3c361e26af24e05bccc74b89cd9ec2d,TechDevSubhopriyo,2019-09-27 15:49:47,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/6ea31f0478be3f8d63517817956479e930ab2cf8,6,1,7,1,1
pH-7,Simple-Java-Calculator,bd9a2f4c3247050780aac28c69d1a258bb67c749,pH-7,2019-07-09 13:09:34,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/fe3e91dfef63aaaf3b14db4b11d37f4b7d272e52,1,1,2,1,1
pH-7,Simple-Java-Calculator,26fe55559a968f9e819eaf354ecf8ba68a115d1d,web-flow,2019-07-09 10:48:44,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/3bd22e3ce220e69743fbf65add62c42791711d8b,12,3,15,1,1
pH-7,Simple-Java-Calculator,64f798aaf9580c4948751bd4c48de26450b029f1,web-flow,2019-07-09 10:35:20,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/f647af55154f5f0d647d3f64cfe4025b85b6f4ac,2,0,2,1,1
pH-7,Simple-Java-Calculator,55c5db75ea9b079fcc173ac89465a6c7412a2ab6,web-flow,2019-07-07 09:46:17,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/f647af55154f5f0d647d3f64cfe4025b85b6f4ac,2,0,2,1,1
pH-7,Simple-Java-Calculator,34b5c0c2a3a75371d752ad6050c14c1b08b2ad34,web-flow,2019-07-07 09:45:04,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/eb277f10d19a5fb7c5c4f756e77b5f406ba9b107,0,0,0,1,1
pH-7,Simple-Java-Calculator,39b246980f0512b038a29542561797b63763ea11,web-flow,2019-07-06 19:34:52,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/b42fa223eee50cd015ee54f7ada998d2ec049fea,1,1,2,1,1
pH-7,Simple-Java-Calculator,c6635f7ffede38ad982321f72ed7e4c6a3054324,ItzSgtTanker,2019-07-05 04:41:26,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/25fe1187570cf749f88ebb7ea3598272b01cd040,12,3,15,1,1
pH-7,Simple-Java-Calculator,d311fdfa5df90dc02734722696d4aafb036d9bed,web-flow,2019-01-29 08:17:13,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/76d14b7c3dbc16848375c224ee6dc6f5f3caefd4,1,0,1,1,1
pH-7,Simple-Java-Calculator,9fc035aeebead0f982c2f498a5f57e1656f140eb,web-flow,2019-01-25 20:37:28,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/76d14b7c3dbc16848375c224ee6dc6f5f3caefd4,1,0,1,1,1
pH-7,Simple-Java-Calculator,3dd559e23c504b885c30feb6f00af467e47af6e8,pH-7,2018-04-10 18:45:30,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/ebfa00a6d17f67fbe764c0511821cb2fca4a1036,7,1,8,1,1
pH-7,Simple-Java-Calculator,a53b59cbf5e242c7b15a0e81c0813d5a5a7d4ed8,pH-7,2018-04-10 18:44:57,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/ac072c315713c436b12df65c2e94dbd971d62122,0,9,9,1,1
pH-7,Simple-Java-Calculator,c3f6d9e3878ea2cb002cb44801416f1c84d77b39,web-flow,2018-01-13 11:48:25,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/ee912aff027d8ab535ac18b5ece59386392c73a0,45,5,50,1,1
pH-7,Simple-Java-Calculator,f1565bbaea45ef3abd302475ba2127f1143d7760,web-flow,2018-01-13 01:43:31,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/ee912aff027d8ab535ac18b5ece59386392c73a0,0,0,0,1,1
pH-7,Simple-Java-Calculator,c74527b9b35cdc727e4b2c408b326790a7feeaa4,web-flow,2018-01-13 01:42:37,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/b09780c3a16a2b10a489db3698001dc39c5c52e9,1,1,2,1,1
pH-7,Simple-Java-Calculator,1728c08315c3b468f6b1cc7365c9886149d925bb,web-flow,2018-01-10 04:19:22,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/572fb2ab5c047b81a1bf5e40ac56de2c52465f65,0,0,0,1,1
